Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),thang-estimate,Amazon CloudFront,0,87.04,1044.48,USD,Data transfer out to internet (1 TB per month)
My Estimate,US East (Ohio),,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (Ohio),main region,Network Address Translation (NAT) Gateway,0,1448.1,17377.20,USD,Number of NAT Gateways (2)
My Estimate,US East (Ohio),,Application Load Balancer,0,647.25,7767.00,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),web and app,Amazon EC2,0,1557.08,18684.96,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 16), Advance EC2 instance (m5.xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US East (Ohio),main db and read replica,Amazon RDS for MySQL,0,6463.26,77559.12,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Quantity (1), Instance type (db.m5.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (4 GB)"
My Estimate,US East (Ohio),web and app in secondary,Amazon EC2,0,1557.08,18684.96,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 16), Advance EC2 instance (m5.xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US East (Ohio),Read replica in secondary region,Amazon RDS for MySQL,0,5584.34,67012.08,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Quantity (1), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (4 GB)"
My Estimate,US East (Ohio),secondary region,Network Address Translation (NAT) Gateway,0,1448.1,17377.20,USD,Number of NAT Gateways (2)
My Estimate,US East (Ohio),secondary region,Application Load Balancer,0,647.25,7767.00,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
